movie_id,title,triples
19995,Avatar,[(Pandora#Pandora (moon)#natural satellite)|instance of|(moon#Natural satellite#)]
206647,Spectre,[(Bond’s past#James Bond (character)#fictional human)|member of|(s sinister organization#Death Wish (comics)#group of fictional characters)]$[(SPECTRE#SPECTRE#fictional organization)|enemy of|(M#M (James Bond)#fictional human)]$[(SPECTRE#SPECTRE#fictional organization)|instance of|(organization#Organization#group of humans)]
49529,John Carter,[(Barsoom#Barsoom#novel series)|characters|(John Carter#John Carter (character)#fictional human)]$[(Barsoom#Barsoom#novel series)|list of characters|(Carter#List of Barsoom characters#)]
285,Pirates of the Caribbean: At World's End,[(But nothing is quite as it seems#Paradise Lost#written work)|characters|(Baldwin#Baldwin#fictional human)]$[(Captain Barbossa#Captain Barbossa#fictional human)|spouse|(Will Turner#Will Turner#fictional human)]$[(Captain Barbossa#Captain Barbossa#fictional human)|spouse|(Elizabeth Swann#Elizabeth Swann#fictional human)]$[(Will Turner#Will Turner#fictional human)|spouse|(Captain Barbossa#Captain Barbossa#fictional human)]$[(Elizabeth Swann#Elizabeth Swann#fictional human)|spouse|(Captain Barbossa#Captain Barbossa#fictional human)]$[(Will Turner#Will Turner#fictional human)|spouse|(Elizabeth Swann#Elizabeth Swann#fictional human)]
49026,The Dark Knight Rises,[(Dark Knight#Batman#fictional human)|enemy of|(a city that is branded him an enemy#Dark Knight (comics)#fictional human)]$[(a city that is branded him an enemy#Dark Knight (comics)#fictional human)|enemy of|(Dark Knight#Batman#fictional human)]$[(Harvey Dent#Harvey Dent#fictional human)|killed by|(Batman#Batman#fictional human)]$[(Batman#Batman#fictional human)|residence|(Gotham City#Gotham City#fictional city)]$[(Bane#Bane (comics)#fictional human)|enemy of|(Batman#Batman#fictional human)]
767,Harry Potter and the Half-Blood Prince,[(Lord Voldemort#Lord Voldemort#literary character)|educated at|(Hogwarts#Hogwarts#wizard school in Harry Potter universe)]
99861,Avengers: Age of Ultron,[(Ultron#Ultron#comics character)|enemy of|(The Avengers#Avengers (comics)#group of fictional characters)]$[(Tony Stark#Iron Man#fictional human)|member of|(Earth’s Mightiest Heroes#Heroes (Marvel Comics)#group of fictional characters)]$[(Tony Stark#Iron Man#human)|member of|(The Avengers#Avengers (comics)#group of fictional characters)]
209112,Batman v Superman: Dawn of Justice,[(Superman#Superman#superhero)|instance of|(Super Hero#Superhero#stock character)]$[(Batman#Batman#fictional human)|enemy of|(Superman#Superman#superhero)]$[(Superman#Superman#superhero)|enemy of|(Batman#Batman#fictional human)]$[(superhero#Superhero#stock character)|subclass of|(hero#Hero#human who may be fictional)]
38757,Tangled,[(Flynn Rider#Flynn Rider#fictional human)|enemy of|(Rapunzel#Rapunzel#fictional human)]$[(Rapunzel#Rapunzel#fictional human)|enemy of|(Flynn Rider#Flynn Rider#fictional human)]$[(super-cop#Super-cop#fictional character)|subclass of|(thief#Thief#occupation)]$[(Rapunzel#Rapunzel#fictional human)|iconographic symbol|(golden hair#Golden hair#color)]
559,Spider-Man 3,[(Spider-Man#Spider-Man#comics character)|enemy of|(Sandman#Sandman (comics)#comics character)]$[(Sandman#Sandman (comics)#comics character)|enemy of|(Spider-Man#Spider-Man#comics character)]$[(Spider-Man#Spider-Man#comics character)|enemy of|(Eddie Brock#Eddie Brock#comics character)]$[(Peter Parker#Spider-Man#comics character)|enemy of|(Eddie Brock#Eddie Brock#comics character)]$[(Eddie Brock#Eddie Brock#comics character)|enemy of|(Spider-Man#Spider-Man#comics character)]$[(Sandman#Sandman (comics)#comics character)|enemy of|(Spider-Man#Spider-Man#comics character)]
